technology;Explore storage class analysis using Amazon S3 analytics data in a ready-to-use Amazon QuickSight dashboard: http://amzn.to/2vnlr6q 
technology;AWS Deep Learning AMIs: Accelerate development of deep learning applications on the cloud! http://amzn.to/2vmXOL2
technology;The fallacies of web application performance by Jose Valim http://buff.ly/2vZG4CK  #performance #ruby #elixir #myelixirstatus
technology;Joy of Elixir http://buff.ly/2w2aLXE  #elixirlang #myelixirstatus
technology;To find out, outdated dependencies run mix.hex.outdated --all #elixir #elixirtips #myelixirstatus
technology;Can't wait to connect with more Elixir folks at @elixir_w_love! #myelixirstatus
technology;With a week of new @elixirlang & @elixirphoenix releases and @ElixirConf around the corner there is a lot to discuss Join us tonight @6pm!
technology;One error shouldn’t break the whole app. Learn how React 16 lets your apps stay resilient to JavaScript crashes. https://facebook.github.io/react/blog/201
technology;Just found out that react-devtools supports #reactnative! You can view the DOM tree, and inspect props & state. Amazing!
technology;Blogged all about the hows and the whys of extracting logic from React components
technology;at @ChainReactConf on the 2nd floor @alex_frantic set up a react native documentation booth! come by if you want to learn how to contribute
technology;You can now use @urbanairship to send push notifications to the users of your React Native application
technology;Let's look at how @Golang Goroutines Make Concurrency (Almost) Easy: http://trhou.se/2tufvnn  by @jaymcgavren
technology;What happened when I compared the "slowest" server in Ruby to NGINX? The results surprised even me
news;This video shows the eerie perfection of real-time facial expression copying http://tnw.me/cCWZH65 
news;The @PlayOverwatch Summer Games return next week (with new skins) http://cnet.co/2uXqCa5 
news;A new cryptocurrency called Bitcoin Cash was just created after a hard fork from bitcoin
news;Magnificent sandstone statue uncovered near legendary Cambodian temple http://gizmo.do/wVUZHWb 
news;Snap is in talks to buy Chinese selfie drone maker Zero Zero Robotics for $150M-$200M http://tcrn.ch/2uXE2ms  by @jonrussell
news;Apple Watch sales up over 50% since last year http://trib.al/0gFxr6a 
news;Announcing the first cohort of progressive political tech startups backed by @highergroundlab
news;This minivan lets you be a truly creepy Sith lord parent. https://venturebeat.com/2017/07/31/this-minivan-lets-you-monitor-your-kids-in-the-back-darth-vader-voice-optional/ 
news;Klipsch serves up more affordable Atmos speakers http://cnet.co/2vrGOTV 
news;Most campaign tools collect dust when their runs end, but these Obama staffers are trying to bust that cycle
news;@NASA will pay you 6 figures to protect Earth from #aliens http://cnet.co/2vhLf3r 
news;iPad has a surprisingly strong Q3 with unit sales up 15% YoY http://tcrn.ch/2w3KtEr 
news;Hawk raised by eagles makes like an eagle http://cnet.co/2wk7nHb 
news;@artivatic is building end-to-end smart #AI infrastructure for #banks, #financial firms https://yourstory.com/2017/08/artivatic-smart-ai-banks-financial-firms/?utm_source=Twitter&utm_medium=Post … #startups #technology
travel;Secret marvels: top 10 micronations http://lptravel.to/i1VNsO  #travel
travel;New Post: Unlikely (For Me) Travel Experiences I Loved https://landlopers.com/2017/07/31/unlikely-travel-experiences-loved … #travel #Lp #ttot #tourists
travel;Lonely Planet Italia's  Angelo Pittro is just back from #Vietnam. Check out his adventures here: http://lptravel.to/9pO6qD  by @superpruso
travel;Christmas in India: The light and the dark http://breathedreamgo.com/2012/12/christmas-in-india-the-light-and-the-dark/?utm_source=ReviveOldPost&utm_medium=social&utm_campaign=ReviveOldPost … #lp #NGTradar #TTOT #solotravel
travel;Filipino community makes up 9% of Winnipeg. "This is the deep stuff," one local said of street food. "The key is marinating it in spice."
travel;Louis Riel was kind of the Che Guevara of the Metis of #Manitoba
travel;MT @cristianbonetto: Torvehallerne #Copenhagen: everything from Danish cheese & seafood to top coffee #LPinDenmark
travel;Got to have at least one shot in front of a colourful door 🚪 @mykonostheoxeniahotel  #mykonos http://ift.tt/2tYkhdh 
travel;50 beautiful places you should visit in America http://cntrvlr.co/Z8VWvSa 
travel;The best of #Vancouver for free http://lptravel.to/AaVFfE  by @johnleewriter #travel
travel;The stars (and satellites) are aligning for an action-packed month. Here's your go-to guide to see all the sky shows
travel;The world's deepest sinkholes are kind of terrifying http://cntrvlr.co/gPaIHJf 
travel;RT @lptravelnews: Check out the best in fashion from the skies! http://lptravel.to/NWhJtt 
travel;Dinner in Winnipeg: pork skewers marinated in 7Up, pig ears & intestines soaked in pineapple/spice. Manila street food from Hot Rod's.
technology;Problem-solving is the most valuable skill you can have as a #developer. Don’t be afraid to break your #code: http://trhou.se/2uEEx6f 
technology;"The most important thing is to never to stop dreaming. Tech is the future, so invest in yourself & the knowledge." http://trhou.se/2vf3bv4 
technology;Just tried out @heroku CI. Was significantly slower than jenkins, even on performance-l. Moving on to @semaphoreci
technology;hey @heroku autoscroll is broken on the new CI product.
technology;Need to calculate rake task dependencies? `rake -P` to the rescue.
technology;How do your #GraphicDesign skills stack up? Take our free assessment and find out now: http://plrsig.ht/2wj6O0f 
